style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Experimental,0.06550953,-0.14688945,0.1602351,-0.15226936,0.030245561,-0.360136,-0.08070598,0.14826223,-0.011129191,-0.26971075,0.40574142,-0.3573349,0.06774563,-0.45585078,0.0030061048,0.20383404,-0.2154477,-0.008697067,0.020450206,-0.27553216,0.10224237,0.19908684,0.34870827,-0.039371904,0.34721196,0.06247703,-0.22857547,0.45548636,0.3269549,0.18971498,0.09075702,0.1296025
Ambient,0.13132522,-0.27626523,0.05076694,-0.2901601,0.15015554,-0.34416237,-0.03299131,0.055409797,0.11210237,-0.25977933,0.33434394,-0.27690545,0.07874046,-0.6204286,0.04567931,0.15667175,-0.23501305,0.08986853,-0.18853146,-0.1601291,0.1313597,0.10351524,0.38251293,-0.05153881,0.5341511,0.2143852,-0.2712393,0.3453478,0.44189534,0.18243909,0.109600745,0.06357256
Pop_Rock,-0.17248242,-0.11685818,0.08636631,0.20778824,-0.034968063,-0.2521449,0.31402272,0.099165864,-0.11783966,-0.022463797,0.19907348,-0.30384874,0.2891695,-0.26853135,-0.0048214244,-0.01607875,0.074626215,0.16300245,0.21762416,-0.16347232,0.33451113,0.4012782,0.52996147,-0.08683436,0.018811127,0.004828898,0.14230467,-0.09815314,0.19384009,-0.28498414,0.07283624,-0.13610712
House,-0.34198877,-0.21560967,-0.03643683,0.0003764288,0.13407074,-0.46603492,0.2805488,0.07136978,0.10302099,-0.049552403,0.42611074,-0.15215357,0.04052175,-0.7729065,0.18256031,0.24380745,-0.33363238,0.12295353,-0.09928943,-0.12143811,0.3383892,0.3329908,0.16955669,-0.3295098,0.030326543,0.38000408,0.0074854824,-0.031855162,-0.21308728,0.42387885,-0.08973659,0.05673658
Techno,-0.19251642,-0.15774554,-0.06751248,-0.16514656,0.11086886,-0.31809285,0.12285657,0.17758194,0.09878569,0.00041797748,0.55890447,-0.122023426,-0.011463879,-0.5421163,0.13882166,0.37729326,-0.6351145,0.07860378,-0.12541367,-0.07925004,0.3779201,0.25868338,0.32157552,-0.30970454,0.34267825,0.35856995,-0.15560605,0.1868492,0.017750371,0.38880014,-0.0999564,-0.13706273
Synth-pop,-0.22960825,-0.20166932,-0.10281444,0.023863308,-0.029628413,-0.24582338,0.29122764,0.04203324,0.10152066,0.093879946,0.49820912,-0.2933422,0.16046321,-0.48524225,0.17228495,0.19939733,-0.038525663,-0.03576602,0.18038398,-0.20864467,0.015666693,0.32603702,0.48339853,-0.28577828,0.18665598,0.3201032,0.21359718,-0.042430095,0.14354366,0.026397754,0.08911904,-0.16770537
Punk,0.0024966854,-0.08203137,0.12000518,0.3088163,-0.11071981,-0.62565494,-0.23981056,0.21640871,-0.22340402,-0.16594046,0.3686413,0.018739793,0.43666363,-0.29756713,0.1431593,0.17587876,-0.42380214,-0.006632045,0.15101044,-0.6114379,0.43025112,0.27245367,0.37535915,0.043926325,-0.016601201,-0.12607439,0.11865203,0.16798864,0.36083412,-0.28468406,-0.27901354,-0.14533876
Vocal,0.01189006,0.007553057,0.0900847,0.2560022,-0.09447446,-0.15976614,0.5792527,0.267765,-0.123542845,0.10504076,-0.044589404,-0.50906324,0.21286741,-0.1965878,0.29098985,0.16294304,0.10136802,0.0248328,0.11545729,0.2585245,0.21384574,0.46427163,0.34082818,-0.20561083,0.055611737,0.05377287,-0.004238347,0.070923015,0.012929214,-0.43081018,-0.11011965,0.0052425484
Electro,-0.35017133,-0.30834916,-0.022108389,-0.0626251,0.00031892757,-0.21354409,0.15840942,0.054721363,0.016675754,-0.038481414,0.6296371,-0.21957241,-0.09806223,-0.5472711,0.2034607,0.3409389,-0.3462283,-0.022484893,0.06885647,-0.1417617,0.200997,0.2276639,0.26449993,-0.2069595,0.18755737,0.3075903,0.05734124,0.17872782,0.0720432,0.24225485,0.02304064,-0.022944653
Alternative_Rock,-0.038571857,-0.1457188,0.18964927,0.10991366,-0.061145052,-0.2747697,-0.12721363,0.14288904,-0.2354446,-0.13595878,0.46238768,-0.12246598,0.19489375,-0.3084112,0.19003005,-0.058478985,0.052904025,-0.10503649,0.17647904,-0.38337767,0.55841404,0.2711043,0.605443,-0.01907005,-0.023816211,0.05074095,0.011646025,-0.07682037,0.4467498,-0.17515895,-0.047289483,0.05974508
Ballad,-0.006520637,0.0071852566,-0.10984595,0.31889105,-0.053383026,-0.113963276,0.5160157,0.16392311,-0.12089961,0.12766954,0.26847738,-0.4273701,0.3696891,-0.2661085,0.18804073,-0.011900508,0.09492264,0.031502593,0.14230396,0.104387276,0.24545503,0.34008962,0.38484305,-0.30670702,0.028769435,0.03658467,0.094468676,-0.051710945,0.03740217,-0.36177132,0.08775623,-0.0072273687
Downtempo,-0.13826504,-0.1739054,-0.08185776,-0.07173634,0.031332705,-0.3583567,0.2931899,-0.030940143,0.04570989,-0.17047742,0.43541712,-0.107358746,0.10310066,-0.6351346,0.111429244,0.1276564,-0.027423104,0.094060294,-0.12896958,-0.05779409,0.24728794,0.24292056,0.22981839,-0.049849167,0.50672245,0.33683473,-0.25090677,0.17593518,0.1598156,0.22315268,-0.07092898,0.015681546
Hardcore,0.14033556,-0.11291655,-0.024886582,0.08726575,-0.15715791,-0.61978287,-0.24235314,0.17927296,-0.70531774,-0.36377007,0.44349712,0.06356805,0.3640524,-0.25154293,0.30394354,0.42611358,-0.7032196,0.0122540705,0.061896507,-0.42926502,0.32570657,0.19181837,0.39817178,0.12418637,0.11911912,0.16864425,-0.03204024,0.025328169,0.06663431,-0.05022935,-0.2783213,-0.1746239
Indie_Rock,-0.03159134,-0.046720367,0.11186692,0.01570344,0.019493178,-0.42255524,-0.022897253,0.11065939,-0.18387455,-0.08513824,0.40333688,-0.04609646,0.30936947,-0.25624448,0.20912005,-0.13675126,0.018498229,-0.18853271,0.22625159,-0.356271,0.52418524,0.3614949,0.5902708,-0.034557756,-0.072493844,0.1127608,-0.059435815,-0.005005028,0.52263075,-0.22534962,-0.009031666,0.2712043
Disco,-0.31426048,-0.07704144,0.09400368,-0.031313058,0.01696798,-0.17497914,0.25421494,-0.110162236,-0.08323467,0.11144372,0.32586017,-0.2714411,-0.0066644694,-0.63761514,0.30152014,0.14637527,0.054474335,0.28475428,-0.065527424,-0.069560856,0.06778227,0.45284134,0.4226536,-0.2270573,0.012469272,0.13101177,0.21476996,-0.08574007,-0.15342823,-0.09052635,-0.016345061,-0.3002177
Soul,-0.27218604,-0.113938555,0.04188986,-0.05598277,-0.0948498,-0.19627073,0.28356606,-0.1399913,-0.078613974,-0.11535496,0.27438867,-0.47556192,0.035908822,-0.5570629,0.33941734,-0.14467289,0.14401688,0.4453869,0.1581244,-0.07309654,0.10426589,0.55666846,0.13600676,-0.23370594,-0.109586515,0.03823448,0.15431128,-0.01024729,-0.08997281,-0.34316313,-0.18599594,-0.47702855
Folk,0.039257754,-0.086296335,-0.011960689,0.16418402,0.023526771,-0.22027223,0.0958039,0.01759701,-0.36159444,0.17760374,0.07776151,-0.6037893,0.35293725,-0.24739784,0.17261314,-0.0009588441,0.20919818,0.2852051,0.049603406,0.4270411,0.18644573,-0.005323398,0.40682048,0.03992266,-0.22236235,0.22489795,-0.19616613,0.14826642,0.47420603,-0.24920303,-0.048172392,0.30397934
Psychedelic_Rock,-0.29989472,-0.23803732,0.33812696,-0.095696196,0.14279516,-0.5090777,0.0016127629,0.06923345,-0.19350643,-0.3344121,0.060699258,-0.29764357,0.15551703,-0.2891743,-0.17583498,-0.13998115,-0.015832545,0.095833495,0.08474074,-0.3093617,0.6099485,0.32443926,0.45932865,-0.086627245,0.11890861,-0.16328123,0.078007825,0.08854644,0.27119902,-0.18748108,0.1839971,0.03316963
Industrial,0.05106099,-0.32323754,0.28233188,-0.0025731598,-0.13212636,-0.13076656,-0.18967238,0.15082783,-0.12257662,-0.3118141,0.69837385,-0.39248848,-0.009702122,-0.4424773,-0.04412812,0.33863086,-0.37246186,-0.20818542,0.12344419,-0.24818516,0.12619817,0.13566124,0.30740833,-0.063109405,0.3010185,0.1376415,0.06491579,0.40400314,0.30333984,0.16712119,0.08072668,0.0047886013
Funk,-0.2382747,-0.121130474,-0.023594044,0.13620724,0.048969284,-0.071520925,0.23238854,-0.3193521,-0.12688872,-0.052280772,0.31909278,-0.24239668,-0.13899894,-0.76468915,0.3484253,-0.009458238,0.19446635,0.460359,-0.034179788,-0.15852378,0.03480922,0.5229177,0.2131544,-0.2468403,0.006714119,-0.07866435,0.15616453,0.018836029,-0.077670194,-0.25820434,0.06494265,-0.42181924
Noise,0.18694831,-0.19175684,0.42722392,-0.025547696,-0.12134747,-0.28406495,-0.27207914,0.31217444,-0.1734827,-0.37737575,0.5326414,-0.37211815,0.080179475,-0.45039505,-0.06973468,0.14880504,-0.29382396,-0.038772065,-0.003683874,-0.4652637,0.15643321,0.26051992,0.4403643,0.062157374,0.2992907,0.008529726,-0.18907082,0.524304,0.10040937,0.22414124,0.070979856,0.07811428
Abstract,0.13710791,-0.3591417,0.092100084,-0.16999064,0.029782824,-0.28547156,-0.031314343,0.15373704,0.1660838,-0.27596256,0.4672205,-0.39939344,0.045291416,-0.4722584,0.10771923,0.22472177,-0.2568679,0.07604939,-0.066836305,-0.21546915,0.066974655,0.16269566,0.35127893,-0.110606454,0.51511896,0.03395523,-0.28499663,0.49000993,0.14558396,0.13330463,0.04286628,0.1306772
Rock_&_Roll,-0.23118702,-0.2802811,0.1092093,0.1645094,-0.26838478,-0.59373677,0.39869103,0.1310674,-0.16915429,-0.07127952,0.28321892,-0.44349694,0.16613948,-0.07938368,-0.08921595,-0.13729887,-0.18517989,0.2045807,0.12916757,-0.17927441,0.30735916,0.44774625,0.4015458,0.10344554,-0.08445097,-0.37461635,0.04498551,-0.019274263,0.069007665,-0.47222793,-0.18005721,-0.21802312
Soundtrack,-0.04741289,-0.35695764,-0.19423649,0.18380804,0.05318439,-0.04285897,0.31136334,-0.18158536,-0.2049427,-0.24437137,-0.27630204,-0.4643713,0.33847037,-0.2675529,0.44087082,-0.2736512,-0.11509855,-0.13114487,-0.4496322,0.058305264,-0.049324133,0.5305025,0.45987508,-0.30093667,0.2619855,-0.11200198,0.50244194,0.18845496,0.429167,0.108539775,-0.21946649,0.008708641
Folk_Rock,-0.08216712,-0.076681964,0.22427358,0.10296754,0.04298155,-0.38891587,0.0129493335,0.17587793,-0.11352257,-0.05750373,0.1531817,-0.44519752,0.31545687,-0.28969207,0.0658401,-0.063999556,0.15868409,0.0534636,0.07344174,-0.17340134,0.5808758,0.17421216,0.5339058,0.04889912,-0.2888891,0.033534456,-0.029150449,0.030977564,0.2684849,-0.2785542,0.1313878,-0.050459433
Trance,-0.19984531,-0.013529185,-0.30030665,0.06956233,0.5415984,-0.3919226,0.24270219,0.16169374,-0.066420175,-0.118853554,0.5703009,-0.3457316,0.0919038,-0.47854206,0.087682016,0.3879795,-0.5688006,0.07167216,-0.032739673,-0.20765676,0.44722882,0.44765955,-0.040645164,-0.19642092,0.45342717,0.74984217,-0.11218361,-0.29991224,0.027662413,0.1798406,-0.1331007,0.11967481
Hard_Rock,-0.040329415,-0.11476137,0.14632973,0.31051302,-0.10124943,-0.10055637,0.06519496,0.07363607,-0.2576068,-0.37835333,0.18314002,-0.40192616,0.103646636,-0.25737762,0.045407556,0.059537984,-0.32195675,0.14034715,0.064944215,-0.4129073,0.90292525,-0.0090608215,0.77658784,0.18667336,-0.0075556594,-0.15887484,0.40709955,0.03710813,0.14741626,-0.3787666,0.20342208,-0.22515927
Minimal,-0.021634974,-0.12722255,0.151443,-0.1161798,9.7688426e-05,-0.28109932,0.18732396,0.12609404,0.33280087,-0.06845612,0.49631968,-0.15938447,-0.056635737,-0.6750428,0.054683316,0.19715662,-0.5391545,-0.06306319,-0.13014202,-0.13992158,0.3466551,0.26441503,0.39100984,-0.2729015,0.17909719,0.15490286,-0.12476737,0.39222628,0.17128246,0.45833448,-0.0082776565,0.117339216
