style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Experimental,-1.2389573,2.5247774,0.9649287,1.404318,-2.3481834,0.7588695,-3.9974031,2.4067605,1.5924865,-0.20169571,-0.5392475,0.33477104,-1.9664996,1.1008501,-1.5546272,0.28326556,-2.127969,-0.3450872,-0.008568975,-1.9067183,-0.37281993,-1.3481822,0.2639942,-3.2343235,-1.1167243,0.64686614,-0.30951554,1.0762101,-0.1890957,0.47922233,1.0552679,0.33345187
House,1.0733336,1.0384539,-3.656177,-0.41468585,1.4276,-0.6586048,0.2968856,-0.6520349,0.5109806,0.9955816,-2.4714165,-1.1237508,-0.72898275,-1.1991225,1.2963054,1.6785666,2.0862732,0.599503,-2.3115382,1.0429207,-2.9180355,0.022784153,-0.61922073,-1.850486,-1.6987555,0.8398925,-0.0023758567,0.019658895,0.2023965,0.89179516,1.1811543,-1.0699378
Pop_Rock,0.8043128,1.329874,-2.4264598,1.2422489,-0.036562253,1.0648733,0.18999161,2.0279717,-0.48254707,-0.47943243,1.0065248,1.0000304,1.5193845,0.4269963,2.5363555,-2.2673192,2.2326417,-0.24112497,-1.2230474,1.7111052,0.274789,0.24312344,-0.33469895,1.8101363,0.2562593,-0.99650234,-0.7125358,1.4746304,1.3953239,1.6041304,0.23419438,-1.0633359
Punk,-0.39611495,0.62430954,-0.30330023,3.1068819,1.6804519,0.25732955,-0.94257396,1.1389778,1.998254,1.598211,2.915825,1.3956295,0.10470475,2.5484245,-0.18571934,-1.3394835,-1.215789,0.75685304,1.8659375,0.66848767,3.4722939,0.8159359,0.3831453,-0.8784726,-2.5137935,0.3691622,0.67500883,0.77654785,1.5212011,-0.71403134,-1.433665,0.64932626
Ambient,-0.24770756,1.9030778,1.3525296,-0.5684942,-0.8781099,1.7858837,-2.6018002,1.6022779,2.679578,1.6030209,0.08065418,-0.18202692,-0.88557094,-1.1961038,-1.8011615,1.0304403,-1.7419206,-1.260993,0.7490777,-2.282627,-3.2190192,-0.23868817,-0.39089012,-2.9808726,0.18113215,-0.8933553,0.9917725,-0.7184707,0.43811885,1.4106758,2.2830858,1.1104662
Techno,-0.5978782,1.4721322,-1.1821222,-0.82695633,2.234091,0.6368183,0.27361152,-1.2899394,2.205518,0.83650875,-2.0005865,-0.6304315,-1.1777781,0.7863646,-0.43404487,0.45431876,0.7056182,-0.33975315,0.94540775,-1.2389091,-2.7713835,-0.22412063,0.5043254,-3.5709229,-2.0569782,1.3580828,0.4296144,-2.2505858,0.5984619,-1.554789,1.4865183,-0.42569068
Vocal,-0.55405575,-0.96848005,-1.2227246,-1.5919579,-0.5041848,-0.5435807,0.7518475,0.26223123,-1.0095968,-0.47683442,-0.053898893,1.3749027,-0.04377855,0.895815,2.80904,-0.47331187,0.31388798,-1.4093524,-1.6765852,0.32514814,1.2150043,1.3151389,0.319958,2.9339526,1.5973873,-1.820522,-1.47592,-0.5236895,0.28082004,0.10531932,-0.10506902,-0.3273878
Hardcore,2.38499,1.6285248,0.36248055,2.084525,-0.8702818,1.8445629,2.4402862,-1.2198893,2.032661,-0.358255,-1.3674719,-0.5269067,-1.6798725,1.6560059,-0.43047416,-0.97246844,-2.9134357,0.30956864,0.57579863,-0.22054689,-0.30149987,0.24953875,1.310807,-2.7258768,-3.4288793,2.552706,3.0065475,0.20415132,-0.9100645,0.3017557,-3.2340205,-0.12261919
Synth-pop,0.99842685,1.5747973,-1.3652121,-0.21437901,2.138865,0.11445325,-0.96468747,0.7939931,1.0047139,0.77877945,0.045324266,0.0074990396,-0.56535137,1.2929385,2.469265,-1.118373,1.5398365,-1.296955,-2.0221193,2.1273875,-1.3103722,-1.8960015,-0.46720847,-1.485009,0.2104258,-1.146389,-0.20463169,-0.581535,0.50277245,0.5326831,1.6649415,-1.4853855
Alternative_Rock,1.2129176,2.1630347,-0.8300396,3.38762,0.3083531,-0.7255578,-1.3168522,1.8457556,0.9435588,0.8979027,1.6803966,1.487229,0.31709766,0.95069075,0.80997473,-0.9559562,0.51904035,-0.47035277,0.13937551,0.7357,0.17026648,-0.45230705,-0.49547184,-0.87575674,-0.9319357,-1.8050069,1.514212,-0.31043237,0.49568084,0.85567397,-0.7663741,-0.10718998
Electro,0.41822737,2.110932,-0.2149623,-0.3196156,0.61771435,0.63616,-1.1166759,0.15194541,1.4189172,-0.6131729,-1.0075606,-0.78941923,-0.85822815,0.49336615,1.6343207,1.1041262,1.1189088,-0.64215505,-0.22978528,1.0237247,-2.151778,-1.306385,-0.17721474,-3.3878675,-0.83233935,0.91399425,1.2710491,0.4423262,0.76237273,0.83472943,1.6725903,0.16789973
Ballad,-0.6938977,0.6592195,-1.7506456,-1.6304162,0.08088533,-0.22042292,1.2395421,0.8629633,-0.8482368,0.069627814,0.5222397,0.18098818,1.3723007,1.9858052,2.531235,0.2646853,3.406313,0.12503125,-0.010056555,1.2253262,-0.7044379,1.3730072,0.36811697,2.6554089,1.7074407,-1.56096,-1.5618932,0.7860141,-0.1034659,1.4692701,-0.17056322,-0.85434973
Indie_Rock,-0.36534223,2.7402506,-0.10142893,2.791438,0.74982375,-1.2505593,-1.7194784,0.9261157,1.326276,0.69596136,2.2047846,1.2490857,2.5597172,-0.07889092,0.067204274,-1.8697591,-0.8525241,-0.7789595,-0.654917,1.1153725,0.83678776,-0.9287715,-0.43793395,-1.614833,-1.8876569,-1.2012517,0.07042057,-0.006566952,0.16407539,1.8824855,-0.5873003,-1.1623772
Disco,0.8787852,1.9396931,-0.9116154,-1.8392458,2.4224677,0.88084346,-0.46083352,0.09728121,-0.30445784,0.61207855,-1.3013316,0.11644155,0.7795178,0.583249,2.9359908,-0.19440036,2.386841,-0.99240375,-1.2857935,0.08482066,-0.5747089,0.055385403,-2.3600209,0.9860645,0.050723538,-1.3731347,-1.1671118,0.6004628,1.9543376,0.45260677,0.9916672,-0.5178831
Soul,-0.25989926,0.060226887,-0.1403196,0.37449032,0.39976233,0.1406805,-0.4765776,-1.1144522,-2.2411132,-1.0259938,0.5741296,-0.045819547,0.5066908,-0.7419881,3.5110588,0.06777684,2.9658275,0.6100499,-1.5466467,1.7804682,0.042518355,1.011204,-2.387406,2.2661054,0.39834115,-1.7719005,0.34179544,1.2280002,1.0621992,0.39808124,1.2892815,-2.2390118
Folk,-1.0689961,0.9139967,0.20071653,-0.953501,-0.90030587,-2.4686298,-0.9330837,0.8542502,-1.5232983,0.7173859,1.7770256,1.2920562,-0.30573365,-0.5609835,-0.8725772,-1.9160696,-0.78408825,0.45395082,0.07585015,-0.26559138,-0.619186,0.4005921,-0.024473147,1.8157423,1.5187844,-0.7379933,-0.68732566,0.99094534,-0.45382202,-0.9589552,1.1492223,-0.89502996
Downtempo,-1.2959762,2.3778214,-1.4420536,-1.839168,-0.73950446,0.36567244,-1.5981613,0.80668885,0.3896684,0.7255589,-2.0568805,1.1425691,-0.34449232,-1.6227095,1.4101163,0.6561822,0.59974056,-0.6050071,-0.6978918,-0.4379909,-2.4408212,-1.2743523,-1.3862791,-0.78818434,-1.6383121,1.572756,1.0110347,-1.1321176,0.24020883,1.1308156,2.6004763,-0.43229985
Psychedelic_Rock,-1.2470407,1.6166283,0.30359012,1.7300568,-0.07012976,0.0009709405,-2.5104656,0.49470642,-1.2892046,0.25255173,2.1917646,1.1182826,0.3454723,0.39057675,0.33754957,-0.7832588,-1.8378756,-0.0071634096,1.3177302,-1.6011181,0.1448284,-1.3581357,-0.47816512,0.68892634,-1.8382027,-3.2838557,0.86131907,1.5465066,2.1939337,2.4464831,-1.4787123,-0.5311064
